PWM frequency set to 1525.88 Hz
Channel 1 duty cycle set to 0.10
Channel 2 duty cycle set to 0.10
Channel 3 duty cycle set to 0.10
Channel 4 duty cycle set to 0.10
Channel 5 duty cycle set to 0.10
Channel 6 duty cycle set to 0.10
Channel 7 duty cycle set to 0.10
Channel 8 duty cycle set to 0.10
Channel 9 duty cycle set to 0.10
Channel 10 duty cycle set to 0.10
Channel 11 duty cycle set to 0.10
Channel 12 duty cycle set to 0.10
Channel 13 duty cycle set to 0.10
Channel 14 duty cycle set to 0.10
Channel 15 duty cycle set to 0.10
Channel 16 duty cycle set to 0.10
