z0 (m), H (A/m), H (Oe)
-1.000000000000000056e-01,2.080387968070428997e+03,2.614292622842662439e+01
-9.900497512437811398e-02,2.245713152073123183e+03,2.822046376249160815e+01
-9.800995024875622241e-02,2.405886416780083437e+03,3.023326036931112526e+01
-9.701492537313433084e-02,2.558067579992035007e+03,3.214562526675678811e+01
-9.601990049751243927e-02,2.700153621805728108e+03,3.393113112731499115e+01
-9.502487562189054771e-02,2.830844758818853734e+03,3.557344439103392375e+01
-9.402985074626865614e-02,2.949585168532934858e+03,3.706558038640191910e+01
-9.303482587064676457e-02,3.056425738895168706e+03,3.840817859022326530e+01
-9.203980099502487300e-02,3.151858157784331070e+03,3.960741773460925685e+01
-9.104477611940298143e-02,3.236656671788191034e+03,4.067302728912869014e+01
-9.004975124378110374e-02,3.311747123315048157e+03,4.161664173261474531e+01
-8.905472636815921217e-02,3.378109351391206474e+03,4.245057408541438093e+01
-8.805970149253732060e-02,3.436710809429179335e+03,4.318698172566136861e+01
-8.706467661691542903e-02,3.488465568874667952e+03,4.383735121391038092e+01
-8.606965174129353746e-02,3.534212118070097404e+03,4.441221930542815954e+01
-8.507462686567164589e-02,3.574704085355290317e+03,4.492105637323840028e+01
-8.407960199004975432e-02,3.610609260377923874e+03,4.537225410954625460e+01
-8.308457711442786275e-02,3.642513547378068779e+03,4.577317520417695107e+01
-8.208955223880597118e-02,3.670927543737738688e+03,4.613023601306761634e+01
-8.109452736318407962e-02,3.696294243779765111e+03,4.644900336705899946e+01
-8.009950248756218805e-02,3.718996943390925935e+03,4.673429390431930841e+01
-7.910447761194029648e-02,3.739366812331756137e+03,4.699026922679571072e+01
-7.810945273631841879e-02,3.757689856408487685e+03,4.722052338944715899e+01
-7.711442786069652722e-02,3.774213151745308551e+03,4.742816124242015974e+01
-7.611940298507463565e-02,3.789150329272335966e+03,4.761586735115726299e+01
-7.512437810945274408e-02,3.802686341550386715e+03,4.778596589808377360e+01
-7.412935323383085251e-02,3.814981571571802306e+03,4.794047231532167075e+01
-7.313432835820896094e-02,3.826175354489643269e+03,4.808113754004394025e+01
-7.213930348258706937e-02,3.836388985033109748e+03,4.820948580677128348e+01
-7.114427860696517780e-02,3.845728279923336231e+03,4.832684684763865590e+01
-7.014925373134328623e-02,3.854285758550332957e+03,4.843438329558995292e+01
-6.915422885572139466e-02,3.862142498096019153e+03,4.853311399654154457e+01
-6.815920398009950310e-02,3.869369712105857161e+03,4.862393384629844917e+01
-6.716417910447761153e-02,3.876030094718934834e+03,4.870763068264782447e+01
-6.616915422885571996e-02,3.882178966603074514e+03,4.878489968560413104e+01
-6.517412935323382839e-02,3.887865253195447167e+03,4.885635567034334770e+01
-6.417910447761193682e-02,3.893132321121121549e+03,4.892254359794838336e+01
-6.318407960199004525e-02,3.898018694607188536e+03,4.898394757813447598e+01
-6.218905472636816062e-02,3.902558670262073065e+03,4.904099859479391910e+01
-6.119402985074626905e-02,3.906782845674991222e+03,4.909408114857271954e+01
-6.019900497512437748e-02,3.910718574836635071e+03,4.914353897985566988e+01
-5.920398009950248591e-02,3.914390361321901310e+03,4.918968000964632381e+01
-5.820895522388059434e-02,3.917820198448434439e+03,4.923278061412523243e+01
-5.721393034825870277e-02,3.921027864178400250e+03,4.927308933049495465e+01
-5.621890547263681814e-02,3.924031177319816379e+03,4.931083007650097016e+01
-5.522388059701492657e-02,3.926846220569550951e+03,4.934620495327258283e+01
-5.422885572139303501e-02,3.929487535090155689e+03,4.937939669044759228e+01
-5.323383084577114344e-02,3.931968290599847023e+03,4.941057078358598886e+01
-5.223880597014925187e-02,3.934300434356336154e+03,4.943987736635599362e+01
-5.124378109452736030e-02,3.936494821911921463e+03,4.946745285365101097e+01
-5.024875621890546873e-02,3.938561332093496276e+03,4.949342138647103440e+01
-4.925373134328357716e-02,3.940508968303660822e+03,4.951789610490990157e+01
-4.825870646766168559e-02,3.942345947937293204e+03,4.954098027179715302e+01
-4.726368159203980096e-02,3.944079781452381667e+03,4.956276826633135357e+01
-4.626865671641790939e-02,3.945717342417399323e+03,4.958334646432137305e+01
-4.527363184079601782e-02,3.947264929673555798e+03,4.960279401934029408e+01
-4.427860696517412625e-02,3.948728322593774010e+03,4.962118355713018758e+01
