zm(m), Length(m), R_wires(Ohms), R_strips(Ohms)
-5.000000000000000278e-02,3.881526792773855039e+00,3.321100209173860063e-01,3.726265721062901548e+00
-4.900000000000000189e-02,4.071028375107914599e+00,3.483240979630494727e-01,3.908187240103599080e+00
-4.800000000000000100e-02,4.263797201708465323e+00,3.648177259739945888e-01,4.093245313640127669e+00
-4.700000000000000011e-02,4.263797201708465323e+00,3.648177259739945888e-01,4.093245313640127669e+00
-4.599999999999999922e-02,4.459833272978641183e+00,3.815909049847142076e-01,4.281439942059495962e+00
-4.500000000000000527e-02,4.659136589301747122e+00,3.986436350280045393e-01,4.472771125729678054e+00
-4.400000000000000439e-02,4.659136589301747122e+00,3.986436350280045393e-01,4.472771125729678054e+00
-4.300000000000000350e-02,4.659136589301747122e+00,3.986436350280045393e-01,4.472771125729678054e+00
-4.200000000000000261e-02,4.659136589301747122e+00,3.986436350280045393e-01,4.472771125729678054e+00
-4.100000000000000172e-02,4.659136589301747122e+00,3.986436350280045393e-01,4.472771125729678054e+00
-4.000000000000000083e-02,4.659136589301747122e+00,3.986436350280045393e-01,4.472771125729678054e+00
-3.900000000000000688e-02,4.459833272978641183e+00,3.815909049847142076e-01,4.281439942059495962e+00
-3.800000000000000600e-02,4.263797201708465323e+00,3.648177259739945888e-01,4.093245313640127669e+00
-3.700000000000000511e-02,3.881526792773855039e+00,3.321100209173860063e-01,3.726265721062901548e+00
-3.600000000000000422e-02,3.512325359185050733e+00,3.005205195747244207e-01,3.371832344817649485e+00
-3.500000000000000333e-02,2.813129402913440380e+00,2.406961267365721746e-01,2.700604226796903706e+00
-3.400000000000000244e-02,2.166209298012081952e+00,1.853445444750130844e-01,2.079560926091599260e+00
-3.300000000000000155e-02,1.431072014538033788e+00,1.224449506743885141e-01,1.373829133956512738e+00
-3.200000000000000067e-02,4.247484261363805302e-01,3.634219631084193575e-02,4.077584890909254356e-01
-3.100000000000000325e-02,1.159887742070782712e+00,9.924196401222427910e-02,1.113492232387951475e+00
-3.000000000000000236e-02,1.715325220705566256e+00,1.467661374872379632e-01,1.646712211877344068e+00
-2.900000000000000147e-02,2.012647368642320522e+00,1.722055251411648280e-01,1.932141473896628048e+00
-2.800000000000000405e-02,2.323038465397371244e+00,1.987631142392999317e-01,2.230116926781476661e+00
-2.700000000000000316e-02,2.646498517164874276e+00,2.264389053116257766e-01,2.540638576478279731e+00
-2.600000000000000228e-02,2.813129402913440380e+00,2.406961267365721746e-01,2.700604226796903706e+00
-2.500000000000000139e-02,2.813129402913440380e+00,2.406961267365721746e-01,2.700604226796903706e+00
-2.400000000000000050e-02,2.646498517164874276e+00,2.264389053116257766e-01,2.540638576478279731e+00
